Date,Tweet,processed_text,cleaned_text
2022-01-08 18:32:49+00:00,Td ada banner gede di deretan pkl danau unesa. Tulisannya kyk ttg gaada pungutan buat pkl dll gitu ternyata pas mendekat dibawahnya ada foto org partai duhh. Placement emg no.1,td banner gede deretan pkl danau unesa tulisannya kyk ttg gaada pungutan buat pkl dll gitu ternyata pas mendekat dibawahnya foto org partai duhh placement emg no1,td ada banner gede di deretan pkl danau unesa tulisannya kyk ttg gaada pungutan buat pkl dll gitu ternyata pas mendekat dibawahnya ada foto org partai duhh placement emg no
2022-01-08 15:38:09+00:00,Nesa! Kkn iku harus beda prodi ta? Atau sak prodi sak geng isok janjian?,nesa kkn iku harus beda prodi ta atau sak prodi sak geng isok janjian,nesa kkn iku harus beda prodi ta atau sak prodi sak geng isok janjian
2022-01-08 15:18:59+00:00,"Nesa! Alhamdulillah bersyukur bgt IPK sm 1 udah keluar. Semoga jadi awal yang baikk, kasih tips biar IPK bisa stabil dong kak",nesa alhamdulillah bersyukur banget ipk sm 1 udah keluar semoga jadi awal baikk kasih tips biar ipk bisa stabil dong kak,nesa alhamdulillah bersyukur bgt ipk sm  udah keluar semoga jadi awal yang baikk kasih tips biar ipk bisa stabil dong kak
2022-01-08 14:58:48+00:00,nesa! maaf aku masih bingung maksudnya ngulang itu gimana ya?🙏🏻 baru semester 1 https://t.co/q0oTFNuoJ0 https://t.co/f82dP7cJgA,nesa maaf aku masih bingung maksudnya ngulang gimana ya🙏🏻 baru semester 1,nesa maaf aku masih bingung maksudnya ngulang itu gimana ya🙏🏻 baru semester  httpstcoqotfnuoj httpstcofdpcjga
2022-01-08 14:54:32+00:00,Nesa! Terakhir proses SPK tanggal berapa ya ?,nesa terakhir proses spk tanggal berapa ya,nesa terakhir proses spk tanggal berapa ya 
2022-01-08 14:52:25+00:00,"Nesa! yang smt kemarin masih full online buat smt depan udah ada isu mau offline atau kayaknya masih online ya? 
Makasii🙏",nesa smt kemarin masih full online buat smt depan udah isu mau offline atau kayaknya masih online ya makasii🙏,"nesa yang smt kemarin masih full online buat smt depan udah ada isu mau offline atau kayaknya masih online ya 
makasii🙏"
2022-01-08 14:46:00+00:00,"nesa! kakak2 mau tanyaa, kalo ada nilai D dimatkul utama ituu gimanaa ya?",nesa kakak2 mau tanyaa kalo nilai d dimatkul utama ituu gimanaa ya,nesa kakak mau tanyaa kalo ada nilai d dimatkul utama ituu gimanaa ya
2022-01-08 14:09:28+00:00,"DB Asia 5 - 5 Vamos FC
Susul menyusul gol terjadi dalam pertandingan Vamos FC melawan DB Asia. Laga tersebut berlangsung dalam pekan pertama Liga Futsal Pro 2021 di GOR Unesa, Surabaya, Sabtu 8 Januari 2022. Saking serunya sampai tercipta 10 gol dalam 2×20 menit. #ffi08012022 https://t.co/QDvtSHflA5",db asia 5 5 vamos fc susul menyusul gol terjadi pertandingan vamos fc melawan db asia laga tersebut berlangsung pekan pertama liga futsal pro 2021 gor unesa surabaya sabtu 8 januari 2022 saking serunya sampai tercipta 10 gol 2×20 menit ffi08012022,"db asia    vamos fc
susul menyusul gol terjadi dalam pertandingan vamos fc melawan db asia laga tersebut berlangsung dalam pekan pertama liga futsal pro  di gor unesa surabaya sabtu  januari  saking serunya sampai tercipta  gol dalam × menit ffi httpstcoqdvtshfla"
2022-01-08 13:43:22+00:00,"Seluruh pemain dan ofisial tim peserta Liga Futsal Pro 2021, telah menjalani swab PCR. Bagian dari prokes ini dilaksanakan pada Jumat 7 Januari 2022 di GOR Unesa, Surabaya. selengkapnya klik link ini https://t.co/RfC5ruSABZ  #ffi07012022 #futsalIndonesia https://t.co/4aS72dWySD",seluruh pemain ofisial tim peserta liga futsal pro 2021 telah menjalani swab pcr bagian prokes dilaksanakan jumat 7 januari 2022 gor unesa surabaya selengkapnya klik link ffi07012022 futsalindonesia,seluruh pemain dan ofisial tim peserta liga futsal pro  telah menjalani swab pcr bagian dari prokes ini dilaksanakan pada jumat  januari  di gor unesa surabaya selengkapnya klik link ini httpstcorfcrusabz  ffi futsalindonesia httpstcoasdwysd
2022-01-08 13:17:33+00:00,"List PTN goes to school:
UB, UNESA, UNEJ, UNAIR, UNM, UIN, UTM, UPN.

Kampus saya luar negeri jadi gamasuk list👍",list ptn goes to school ub unesa unej unair unm uin utm upn kampus saya luar negeri jadi gamasuk list👍,"list ptn goes to school
ub unesa unej unair unm uin utm upn

kampus saya luar negeri jadi gamasuk list👍"
